Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Ska22c,Defining and Characterizing Reward Hacking,"J. Skalse, Nikolaus H. R. Howe, D. Krasheninnikov, and David Krueger",2022,2022-09-27,ArXiv,abs/2209.13085,,"We provide the first formal definition of reward hacking, a phenomenon where optimizing an imperfect proxy reward function leads to poor performance according to the true reward function. We say that a proxy is unhackable if increasing the expected proxy return can never decrease the expected true return. Intuitively, it might be possible to create an unhackable proxy by leaving some terms out of the reward function (making it""narrower"") or overlooking fine-grained distinctions between roughly equivalent outcomes, but we show this is usually not the case. A key insight is that the linearity of reward (in state-action visit counts) makes unhackability a very strong condition. In particular, for the set of all stochastic policies, two reward functions can only be unhackable if one of them is constant. We thus turn our attention to deterministic policies and finite sets of stochastic policies, where non-trivial unhackable pairs always exist, and establish necessary and sufficient conditions for the existence of simplifications, an important special case of unhackability. Our results reveal a tension between using reward functions to specify narrow tasks and aligning AI systems with human values.",126,35,10.48550/arXiv.2209.13085,https://doi.org/10.48550/arXiv.2209.13085,2.2500
Eve16,Self-Modification of Policy and Utility Function in Rational Agents,"Tom Everitt, Daniel Filan, M. Daswani, and Marcus Hutter",2016,2016-05-10,Artificial General Intelligence,,1-11,"Any agent that is part of the environment it interacts with and has versatile actuators (such as arms and fingers), will in principle have the ability to self-modify – for example by changing its own source code. As we continue to create more and more intelligent agents, chances increase that they will learn about this ability. The question is: will they want to use it? For example, highly intelligent systems may find ways to change their goals to something more easily achievable, thereby ‘escaping’ the control of their creators. In an important paper, Omohundro (2008) argued that goal preservation is a fundamental drive of any intelligent system, since a goal is more likely to be achieved if future versions of the agent strive towards the same goal. In this paper, we formalise this argument in general reinforcement learning, and explore situations where it fails. Our conclusion is that the self-modification possibility is harmless if and only if the value function of the agent anticipates the consequences of self-modifications and use the current utility function when evaluating the future.",33,3.3,10.1007/978-3-319-41649-6_1,https://doi.org/10.1007/978-3-319-41649-6_1,2.0500
Eve19c,Reward Tampering Problems and Solutions in Reinforcement Learning: A Causal Influence Diagram Perspective,Tom Everitt and Marcus Hutter,2019,2019-08-13,ArXiv,abs/1908.04734,,"Can an arbitrarily intelligent reinforcement learning agent be kept under control by a human user? Or do agents with sufficient intelligence inevitably find ways to shortcut their reward signal? This question impacts how far reinforcement learning can be scaled, and whether alternative paradigms must be developed in order to build safe artificial general intelligence. In this paper, we use an intuitive yet precise graphical model called causal influence diagrams to formalize reward tampering problems. We also describe a number of modifications to the reinforcement learning objective that prevent incentives for reward tampering. We verify the solutions using recently developed graphical criteria for inferring agent incentives from causal influence diagrams. Along the way, we also compare corrigibility and self-preservation properties of the various solutions, and discuss how they can be combined into a single agent without reward tampering incentives.",145,21,,https://www.semanticscholar.org/paper/6cc143037044cd3ef3a3f194ba0a1b2446854e26,1.9200
Ors11c,Self-Modification and Mortality in Artificial Agents,Laurent Orseau and Mark B. Ring,2011,2011-08-03,Artificial General Intelligence,,1-10,,57,3.9,10.1007/978-3-642-22887-2_1,https://doi.org/10.1007/978-3-642-22887-2_1,1.6200
Rin11,"Delusion, Survival, and Intelligent Agents",Mark B. Ring and Laurent Orseau,2011,2011-08-03,Artificial General Intelligence,,11-20,,82,5.5,10.1007/978-3-642-22887-2_2,https://doi.org/10.1007/978-3-642-22887-2_2,1.5200
Hib11,Model-based Utility Functions,B. Hibbard,2011,2011-11-16,Journal of Artificial General Intelligence,3,1 - 24,"Abstract Orseau and Ring, as well as Dewey, have recently described problems, including self-delusion, with the behavior of agents using various definitions of utility functions. An agent's utility function is defined in terms of the agent's history of interactions with its environment. This paper argues, via two examples, that the behavior problems can be avoided by formulating the utility function in two steps: 1) inferring a model of the environment from interactions, and 2) computing utility as a function of the environment model. Basing a utility function on a model that the agent must learn implies that the utility function must initially be expressed in terms of specifications to be matched to structures in the learned model. These specifications constitute prior assumptions about the environment so this approach will not work with arbitrary environments. But the approach should work for agents designed by humans to act in the physical world. The paper also addresses the issue of self-modifying agents and shows that if provided with the possibility to modify their utility functions agents will not choose to do so, under some usual assumptions.",50,3.4,10.2478/v10229-011-0013-5,https://doi.org/10.2478/v10229-011-0013-5,1.4200
Eve17b,Reinforcement Learning with a Corrupted Reward Channel,"Tom Everitt, Victoria Krakovna, Laurent Orseau, and S. Legg",2017,2017-05-23,International Joint Conference on Artificial Intelligence,,4705-4713,"No real-world reward function is perfect. Sensory errors and software bugs may result in RL agents observing higher (or lower) rewards than they should. For example, a reinforcement learning agent may prefer states where a sensory error gives it the maximum reward, but where the true reward is actually small. We formalise this problem as a generalised Markov Decision Problem called Corrupt Reward MDP. Traditional RL methods fare poorly in CRMDPs, even under strong simplifying assumptions and when trying to compensate for the possibly corrupt rewards. Two ways around the problem are investigated. First, by giving the agent richer data, such as in inverse reinforcement learning and semi-supervised reinforcement learning, reward corruption stemming from systematic sensory errors may sometimes be completely managed. Second, by using randomisation to blunt the agent's optimisation, reward corruption can be partially managed under some assumptions.",124,14,10.24963/ijcai.2017/656,https://doi.org/10.24963/ijcai.2017/656,1.3300
Eve16b,Avoiding Wireheading with Value Reinforcement Learning,Tom Everitt and Marcus Hutter,2016,2016-05-10,Artificial General Intelligence,,12-22,"How can we design good goals for arbitrarily intelligent agents? Reinforcement learning (RL) may seem like a natural approach. Unfortunately, RL does not work well for generally intelligent agents, as RL agents are incentivised to shortcut the reward sensor for maximum reward – the so-called wireheading problem. In this paper we suggest an alternative to RL called value reinforcement learning (VRL). In VRL, agents use the reward signal to learn a utility function. The VRL setup allows us to remove the incentive to wirehead by placing a constraint on the agent’s actions. The constraint is defined in terms of the agent’s belief distributions, and does not require an explicit specification of which actions constitute wireheading.",50,5.0,10.1007/978-3-319-41649-6_2,https://doi.org/10.1007/978-3-319-41649-6_2,1.2800
Arm15,Motivated Value Selection for Artificial Agents,S. Armstrong,2015,2015-04-01,AI and Ethics,,,"Coding values (or preferences) directly into an artificial agent is a very challenging task, while value selection (or value-learning, or value-loading) allows agents to learn values from their programmers, other humans or their environments in an interactive way. However, there is a conflict between agents learning their future values and following their current values, which motivates agents to manipulate the value selection process. This paper establishes the conditions under which motivated value selection is an issue for some types of agents, and presents an example of an `indifferent' agent that avoids it entirely. This poses and solves an issue which has not to the author's knowledge been formally addressed in the literature.",52,4.7,,https://www.semanticscholar.org/paper/a1011898c7ca77afc51a1f331511c6325fb2964c,1.2100
Coh22c,Advanced Artificial Agents Intervene in the Provision of Reward,"Michael K Cohen, Marcus Hutter, and Michael A. Osborne",2022,2022-08-29,AI Mag.,43,282-293,"We analyze the expected behavior of an advanced artiﬁcial agent with a learned goal planning in an unknown environment. Given a few assumptions, we argue that it will encounter a fundamental ambiguity in the data about its goal. For example, if we provide a large reward to indicate that something about the world is satisfactory to us, it may hypothesize that what satisﬁed us was the sending of the reward itself; no observation can refute that. Then we argue this ambiguity will lead it to intervene in whatever protocol we set up to provide data for the agent about its goal. We discuss an analogous failure mode of approximate solutions to assistance games. Finally, we brieﬂy review some recent approaches that may avoid this problem.",40,11,10.1002/aaai.12064,https://doi.org/10.1002/aaai.12064,1.1200
