Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Des74,Computational Delays,S. D. Deshmukh,1974,1974-11-01,Management Science,21,330-340,"Decision-making processes usually involve time-consuming and costly operations of observation and communication of the state of the environment and generation and implementation of appropriate actions. Collectively these activities may be called computational and the procedure required to carry them out may be called an algorithm. If the environment is changing stochastically the fixed computational delay involved in operating the algorithm yields obsolete actions resulting in reduced expected return. The loss as a function of delay is a measure of efficiency of the algorithm which depends upon the stochastic properties of the environment. If it is possible to reduce the loss by employing a faster algorithm at a higher cost, the algorithm may be optimally designed and selected from a given family.",2,0.0,10.1287/mnsc.21.3.330,https://doi.org/10.1287/mnsc.21.3.330,2.6000
Lin15c,Metareasoning for Planning Under Uncertainty,"C. H. Lin, A. Kolobov, Ece Kamar, and E. Horvitz",2015,2015-05-03,ArXiv,abs/1505.00399,,"The conventional model for online planning under uncertainty assumes that an agent can stop and plan without incurring costs for the time spent planning. However, planning time is not free in most real-world settings. For example, an autonomous drone is subject to nature's forces, like gravity, even while it thinks, and must either pay a price for counteracting these forces to stay in place, or grapple with the state change caused by acquiescing to them. Policy optimization in these settings requires metareasoning-- a process that trades off the cost of planning and the potential policy improvement that can be achieved. We formalize and analyze the metareasoning problem for Markov Decision Processes (MDPs). Our work subsumes previously studied special cases of metareasoning and shows that in the general case, metareasoning is at most polynomially harder than solving MDPs with any given algorithm that disregards the cost of thinking. For reasons we discuss, optimal general metareasoning turns out to be impractical, motivating approximations. We present approximate metareasoning procedures which rely on special properties of the BRTDP planning algorithm and explore the effectiveness of our methods on a variety of problems.",36,3.3,,https://www.semanticscholar.org/paper/41151f9ff8640f11c4b8a237cd61b1b93c66e57f,2.3500
Dea88,An Analysis of Time-Dependent Planning,T. Dean and M. Boddy,1988,1988-08-21,AAAI Conference on Artificial Intelligence,,49-54,"This paper presents a framework for exploring issues in time-dependent planning: planning in which the time available to respond to predicted events varies, and the decision making required to formulate effective responses is complex. Our analysis of time-dependent planning suggests an approach based on a class of algorithms that we call anytime algorithms. Anytime algorithms can be interrupted at any point during computation to return a result whose utility is a function of computation time. We explore methods for solving time-dependent planning problems based on the properties of anytime algorithms.",1074,28,,https://www.semanticscholar.org/paper/143f6b100c13d120e55c3e30e441c4abac7a5db2,2.1500
Bod89,Solving Time-Dependent Planning Problems,M. Boddy and T. Dean,1989,1989-08-20,International Joint Conference on Artificial Intelligence,,979-984,"We are interested in constructing solutions to time-dependent planning problems: problems in which time spent planning affects the utility of the system''s performance. In a previous paper, we define a fraomework for constructing solutions to time-dependent planning problems called expectation-driven iterative refinement. In this paper, we analyze and solve a moderately complex time-dependent planning problem involving path planning for a mobile robot, as a way of exploring a methodology for applying expectation-driven iterative refinement.",402,11,,https://www.semanticscholar.org/paper/fc078a34b3b854602ba932fe3afc4b00060b2a48,2.0500
Bod94,Deliberation Scheduling for Problem Solving in Time-Constrained Environments,M. Boddy and T. Dean,1994,1994-06-01,Artif. Intell.,67,245-285,,306,9.6,10.1016/0004-3702(94)90054-X,https://doi.org/10.1016/0004-3702(94)90054-X,1.9800
Hor91,Time-Dependent Utility and Action Under Uncertainty,E. Horvitz and G. Rutledge,1991,1991-07-13,ArXiv,abs/1303.5722,,"We discuss representing and reasoning with knowledge about the time-dependent utility of an agent's actions. Time-dependent utility plays a crucial role in the interaction between computation and action under bounded resources. We present a semantics for time-dependent utility and describe the use of time-dependent information in decision contexts. We illustrate our discussion with examples of time-pressured reasoning in Protos, a system constructed to explore the ideal control of inference by reasoners with limit abilities.",105,3.0,10.1016/B978-1-55860-203-8.50023-1,https://doi.org/10.1016/B978-1-55860-203-8.50023-1,1.9200
Hor87,Reasoning about beliefs and actions under computational resource constraints,E. Horvitz,1987,1987-07-10,ArXiv,abs/1304.2759,,"Although many investigators affirm a desire to build reasoning systems that behave consistently with the axiomatic basis defined by probability theory and utility theory, limited resources for engineering and computation can make a complete normative analysis impossible. We attempt to move discussion beyond the debate over the scope of the problems that can be handled effectively to cases where it is clear that there is insufficient computational or engineering resource to perform an analysis deemed to be complete. Under these conditions, we stress the importance of considering the expected costs and benefits of applying alternative approximation procedures and heuristics for computation and knowledge-acquisition. We discuss bow knowledge about the structure of user utility can be used to control value tradeoffs for tailoring inference to alternative contexts. We finally address the notion of real-time rationality, focusing on the application of knowledge about the expected timewise-refinement abilities of reasoning strategies to balance the benefits of additional computation with the costs of acting with a partial result.",413,11,10.1016/0888-613x(88)90148-x,https://doi.org/10.1016/0888-613x(88)90148-x,1.8600
Hor89,Reflection and Action Under Scarce Resources: Theoretical Principles and Empirical Study,"E. Horvitz, G. Cooper, and D. Heckerman",1989,1989-08-20,International Joint Conference on Artificial Intelligence,,1121-1127,"We define and exercise the expected value of computation as a fundamental component of reflection about alternative inference strategies. We present a portion of Protos research focused on the interlacing of reflection and action under scarce resources, and discuss how the techniques have been applied in a high-stakes medical domain. The work centers on endowing a computational agent with the ability to harness incomplete characterizations of problem-solving performance to control the amount of effort applied to a problem or subproblem, before taking action in the world or turning to another problem. We explore the use of the techniques in controlling decision-theoretic inference itself, and pose the approach as a model of rationality under scarce resources.",146,4.0,,https://www.semanticscholar.org/paper/387a6e3f774def96ffcf7c2adcf850b6dad6ace2,1.8200
Hov91,Computation and action under bounded resources,Eric Joel Hovitz,1991,1991-05-01,,,,"We define and implement a model of rational action for automated reasoning systems that makes use of flexible approximation methods and inexpensive decision-theoretic procedures to determine how best to solve a problem under bounded computational resources. The model provides metareasoning techniques which enable a reasoning system to balance the costs of increased delays with the benefits of better results in a decision context. The decision-theoretic metareasoning techniques can be applied to a variety of computational tasks. We focus on the use of metalevel decision procedures to control complex probabilistic reasoning at the base level. The approach extends traditional decision analyses to autoepistemic models that represent knowledge about problem solving, in addition to knowledge about distinctions and relationships in the world. We found that it can be valuable to allocate a portion of costly reasoning resources to metalevel deliberation about the best way to use additional resources to solve a decision problem. 
After reviewing principles for applying multiattribute utility theory to the control of basic computational procedures, we describe how these principles can be used to control probabilistic reasoning. In particular, we examine techniques for controlling, at run time, the tradeoff between the complexity of detailed, accurate analyses and the tractability of less complex, yet less accurate probabilistic inference. We present the architecture and functionality of a system named Protos that embodies these principles for making high-stakes decisions under time pressure. We study the behavior of Protos on decision problems in critical-care medicine. Finally, we move beyond our focus on time constraints to consider the constraints on decision-theoretic reasoning posed by the cognitive limitations of people seeking insight from automated decision systems.",129,3.7,,https://www.semanticscholar.org/paper/c4e68e025d3512c5acda1a9d257bfdf37e00f09b,1.7400
Bod91,Solving Time-Dependent Problems: A Decision-Theoretic Approach to Planning in Dynamic Environments,M. Boddy,1991,1991-05-01,,,,"Controlling a robot involves making decisions that modify its behavior. Making good decisions may require time-consuming computation. Changes in the environment over time affect when this computation can be done (e.g., after obtaining the necessary information), and when a result is useful (e.g., before some event occurs). This sensitivity to when computation is performed and when decisions are made is what makes these problems ``time-dependent.'''' A controller with more than one decision to make must trade off computation time, based on the expected effect on the system''s behavior. We call the resulting meta-level scheduling problem a ``deliberation-scheduling'''' problem. We have developed a framework for doing deliberation scheduling called ``expectation-driven iterative refinement''''. This framework requires that the decision procedures to which time is allocated be ``anytime algorithms,'''' which can be interrupted at any point to return an answer whose expected utility increases with computation time. We have conducted a theoretical and empirical investigation of the application of expectation-driven iterative refinement to time-dependent problems. We discuss the problem of finding or generating anytime decision procedures and gathering useful expectations on their behavior. The difficulty of doing deliberation scheduling depends in large part on the decision model to be used in computing expectations on the system''s behavior. We show that for many time-dependent problems, optimal deliberation scheduling for a reasonably complex decision model is likely to be computationally expensive. We suggest some ways in which the decision model can be restricted so as to simplify deliberation scheduling. In particular, we discuss generating an explicit ``deliberation schedule'''' on the occurrence of a restricted set of significant events. Empirical results obtained for three different examples demonstrate that this approach can provide computationally inexpensive deliberation scheduling with an expected utility only slightly less than for a more complete (and computationally intractable) decision model. These examples also serve to elucidate some of the issues involved in generating solutions to time-dependent problems, and support our contention that expectation-driven iterative refinement is a useful tool for providing these solutions.",32,0.9,,https://www.semanticscholar.org/paper/22ac32ac5057555b36cd40eb32c217c5a66aa6fe,1.6800
