Cite Key,Title,Authors,Year,Publication Date,Journal,Volume,Pages,Abstract,Citation Count,Citations/Year,DOI,URL,Relevance Score
Arc20,Dissipativity Tools for Convergence to Nash Equilibria in Population Games,M. Arcak and N. C. Martins,2020,2020-05-07,IEEE Transactions on Control of Network Systems,8,39-50,"We analyze the stability of a nonlinear dynamical model describing the noncooperative strategic interactions among the agents of a finite collection of populations. Each agent selects one strategy at a time and revises it repeatedly according to a protocol that typically prioritizes strategies whose payoffs are either higher than those of the current strategy or exceed the population average. The model is predicated on well-established research in population and evolutionary games, and has two components. The first is the payoff dynamics model (PDM), which ascribes the payoff to each strategy according to the so-called social state vector whose entries are the proportions of every population adopting the available strategies. The second component is the evolutionary dynamics model (EDM) that accounts for the revision process. In our model, the social state at equilibrium is a best response to the strategies’ payoffs, and can be viewed as a Nash-like solution that has predictive value when it is globally asymptotically stable (GAS). We present a systematic methodology that ascertains GAS by checking separately whether the EDM and PDM satisfy appropriately defined system-theoretic dissipativity properties. Our work generalizes pioneering methods based on notions of contractivity applicable to memoryless PDMs, and more general system-theoretic passivity conditions. As demonstrated with examples, the added flexibility afforded by our approach is particularly useful when the contraction properties of the PDM are unequal across populations.",57,9.4,10.1109/TCNS.2020.3029990,https://doi.org/10.1109/TCNS.2020.3029990,2.3000
Har03,Uncoupled Dynamics Do Not Lead to Nash Equilibrium,S. Hart and A. Mas-Colell,2003,2003-11-01,The American Economic Review,93,1830-1836,"We call a dynamical system uncoupled if the dynamic for each player does not depend on the payoffs of the other players. We show that there are no uncoupled dynamics that are guaranteed to converge to Nash equilibrium, even when the Nash equilibrium is unique.",154,6.8,10.1257/000282803322655581,https://doi.org/10.1257/000282803322655581,2.0000
Fox12b,"Population games, stable games, and passivity",Michael J. Fox and J. Shamma,2012,2012-12-01,2012 IEEE 51st IEEE Conference on Decision and Control (CDC),,7445-7450,"Stable games [1] have the attractive property of admitting global convergence to equilibria under many learning dynamics. We show that stable games can be formulated as passive input-output systems. This observation enables us to identify passivity of a learning dynamic as a sufficient condition for global convergence in stable games. Notably, dynamics satisfying our condition need not exhibit positive correlation between the payoffs and their directions of motion. Our condition is satisfied by the dynamics known to exhibit global convergence in stable games. We give a decision-theoretic interpretation for passive learning dynamics that mirrors the interpretation of stable games as strategic environments exhibiting self-defeating externalities. Lastly, we exploit the flexibility of the passivity condition to study the impact of applying various forecasting heuristics to the payoffs used in the learning process.",120,8.9,10.1109/CDC.2012.6426106,https://doi.org/10.1109/CDC.2012.6426106,1.9000
Pav22,Dissipativity Theory in Game Theory: On the Role of Dissipativity and Passivity in Nash Equilibrium Seeking,Lacra Pavel,2022,2022-06-01,IEEE Control Systems,42,150-164,"I n this article, we show how dissipativity and passivity theory impacts game theory, in particular, learning in multiplayer games. Over the years, a plethora of algorithms/dynamics have been proposed in the game theoretic literature for learning (or seeking) a Nash equilibrium. From the best-response play, proximal dynamics and (projected) gradient-play to fictitious-play, payoff-based play or Q-learning (reinforcement-learning), the list is long. Herein, we consider some these popular game-theoretic algorithms and show how the principle of balancing passivity can explain their operation, as well as the trade-off between game properties and learning dynamics properties. We discuss how passivity and basic properties of interconnected systems lead to simplified proofs of convergence of such algorithms, and furthermore, how by leveraging them, novel algorithms and game dynamics with better properties can be generated.",18,4.5,10.1109/MCS.2022.3157119,https://doi.org/10.1109/MCS.2022.3157119,1.7500
Can10c,Flows and Decompositions of Games: Harmonic and Potential Games,"Ozan Candogan, Ishai Menache, A. Ozdaglar, and P. Parrilo",2010,2010-05-13,Math. Oper. Res.,36,474-503,"In this paper we introduce a novel flow representation for finite games in strategic form. This representation allows us to develop a canonical direct sum decomposition of an arbitrary game into three components, which we refer to as the potential, harmonic, and nonstrategic components. We analyze natural classes of games that are induced by this decomposition, and in particular, focus on games with no harmonic component and games with no potential component. We show that the first class corresponds to the well-known potential games. We refer to the second class of games as harmonic games, and demonstrate that this new class has interesting properties which contrast with properties of potential games. Exploiting the decomposition framework, we obtain explicit expressions for the projections of games onto the subspaces of potential and harmonic games. This enables an extension of the equilibrium properties of potential and harmonic games to “nearby” games.",214,13,10.1287/moor.1110.0500,https://doi.org/10.1287/moor.1110.0500,1.6200
Hof03,Uncoupled Dynamics Do Not Lead to Nash Equilibrium,J. Hofbauer,2003,,,,,"It is notoriously dif cult to formulate sensible adaptive dynamics that guarantee convergence to Nash equilibrium. In fact, short of variants of exhaustive search (deterministic or stochastic), there are no general results; of course, there are many important, interesting and well-studied particular cases. See the books of Jörgen W. Weibull (1995), Fernando VegaRedondo (1996), Larry Samuelson (1997), Drew Fudenberg and David K. Levine (1998), Josef Hofbauer and Karl Sigmund (1998), H. Peyton Young (1998), and the discussion in Section IV below. Here we provide a simple answer to the question: Why is that so? Our answer is that the lack of a general result is an intrinsic consequence of the natural requirement that dynamics of play be “uncoupled” among the players, that is, the adjustment of a player’s strategy does not depend on the payoff functions (or utility functions) of the other players (it may depend on the other players’ strategies, as well as on the payoff function of the player himself). This is a basic informational condition for dynamics of the “adaptive” or “behavioral” type. It is important to emphasize that, unlike the existing literature (see Section IV), we make no “rationality” assumptions: our dynamics are not best-reply dynamics, or better-reply, or payoffimproving, or monotonic, and so on. What we show is that the impossibility result is due only to an “informational” requirement—that the dynamics be uncoupled.",257,11,10.4159/9780674915343-011,https://doi.org/10.4159/9780674915343-011,1.5500
Gok23,Contractivity of Distributed Optimization and Nash Seeking Dynamics,"Anand Gokhale, A. Davydov, and Francesco Bullo",2023,2023-09-11,IEEE Control Systems Letters,7,3896-3901,"In this letter, we study distributed optimization and Nash equilibrium-seeking dynamics from a contraction theoretic perspective. Our first result is a novel bound on the logarithmic norm of saddle matrices. Second, for distributed gradient flows based upon incidence and Laplacian constraints over arbitrary topologies, we establish strong contractivity over an appropriate invariant vector subspace. Third, we give sufficient conditions for strong contractivity in pseudogradient and best response games with complete information, show the equivalence of these conditions, and consider the special case of aggregative games.",0,,10.1109/LCSYS.2023.3341987,https://doi.org/10.1109/LCSYS.2023.3341987,1.5000
Loh98,On Contraction Analysis for Non-linear Systems,Winfried Lohmiller and Jean-Jacques E. Slotine,1998,1998-06-01,Autom.,34,683-696,,1495,53,10.1016/S0005-1098(98)00019-3,https://doi.org/10.1016/S0005-1098(98)00019-3,1.4500
Mer17b,Cycles in adversarial regularized learning,"P. Mertikopoulos, C. Papadimitriou, and G. Piliouras",2017,2017-09-08,ACM-SIAM Symposium on Discrete Algorithms,,2703-2717,"Regularized learning is a fundamental technique in online optimization, machine learning and many other fields of computer science. A natural question that arises in these settings is how regularized learning algorithms behave when faced against each other. We study a natural formulation of this problem by coupling regularized learning dynamics in zero-sum games. We show that the system's behavior is Poincare recurrent, implying that almost every trajectory revisits any (arbitrarily small) neighborhood of its starting point infinitely often. This cycling behavior is robust to the agents' choice of regularization mechanism (each agent could be using a different regularizer), to positive-affine transformations of the agents' utilities, and it also persists in the case of networked competition, i.e., for zero-sum polymatrix games.",354,41,10.1137/1.9781611975031.172,https://doi.org/10.1137/1.9781611975031.172,1.4000
Loh99,Contraction analysis of nonlinear systems,Winfried Lohmiller,1999,,,,,,596,22,,https://www.semanticscholar.org/paper/90b4d5ba4d1e1c7b0f36315b1f06c65266d42384,1.3500
